Inchkey,SMILES,LogD7.4,%C,apol,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nO,a_nP,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,h_ema,h_emd,h_emd_C,h_logD,h_logP,h_logS,h_log_dbo,h_log_pbo,h_mr,h_pavgQ,h_pKa,h_pKb,h_pstates,h_pstrain,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb
GFYYWSNSKOTGCA-UHFFFAOYSA-N,S(CC(=O)N1CCN(C(=O)c2occc2)CC1)c1n-2c(C(C)=Cc3c-2cc(C)c(C)c3)nn1,2.8,99.948738,69.715828,0,0,3,4,4,0,16,0,58,0,4,33,19,97.262863,1.6769459,0,0,24,0,0,25,0,5,3,0,1,1.1223178,-2.7171776,-0.42726555,0.43664038,2.6554949,-2.8637414,-0.25947022,0.49139675,2.5273554,-2.4366314,-0.20827577,0.76252151,2.9269266,40.702175,6,0.16216215,16,62,3,37,3,6,0.16216215,43,0,23.112156,19.685194,14.999636,16.551678,15.918724,11.897577,6.540946,8.3313704,0,0,0.76938719,17,0,-0.84678221,-0.403081,-0.065992087,2.7299218,-0.97388625,-0.28970379,0.054805633,2.7794728,-0.50899595,-0.18097702,0.26134449,3.016434,9.5167809,10.363051,10.363051,4.6143193,4.6146712,-6.8426933,0,11.597049,12.935942,0.0012866877,14,9.8899679,1.0101901,0.00076757174,24.68371,10.545954,5.1199999,18.866543,7.9884596,3.8530228,4.5671096,8,0,1,0,2.7590001,-6.52425,12.794706,0,1,26,0,5,6,2,0,0,2.6377864,-2.6377864,0.10992564,0.17366768,99.688545,91.331825,4.2653861,32.815708,12.949531,12.949531,0,126.35171,19.760618,18.842079,0,0,27.133842,2.503756,0.87619799,0.43378341,0.066067971,0.12380201,0.56621659,0.057734046,393.05588,194.59201,29.637598,55.536659,254.00053,25.899061,0.47058824,0.8888889,0,0,0,0,1,0,0,0,1,0,448.59253,0,0,0,448.59253,0,9,0,5,0,0,0.33333334,3.4277401,0,51.991302,23.862217,90.991875,41.195683,10.200425,0,96.421494,17.643185,132.19759,12.62945,57.231777,41.473736,0.69307917,17.333466,5.9423227,90.479164,119.15263,132.19759,84.470001,0.35823497,6.2094536,3.878979,9.7646971,448.59253,602.50806,45.975922,0,0,0,301.54474,83.277,45.975922,463.56198,3552,56,182
LWPSLEWEHKQGCG-UHFFFAOYSA-O,Clc1ccc(CN2C(=O)C=C3C(=N2)CC[NH2+]CC3)cc1,1.1,95.60701,44.017483,1,0,0,1,2,0,6,1,37,0,2,20,14,59.904659,1.6190449,0,0,15,1,0,17,0,3,1,0,0,1.5425349,-2.5878723,-0.64527071,0.70094436,2.6693063,-3.3922603,-0.53807992,0.78206462,2.5453415,-2.4032149,-0.48142204,0.85788614,2.8883326,21.942518,2,0.090909094,6,39,3,22,2,2,0.090909094,30,0,13.949383,11.936204,8.9222851,9.957819,9.7203465,7.2603865,4.7093778,6.0075679,0,0,0.76744115,11,1,-0.87253195,-0.38470349,0.12777303,2.6374424,-2.247299,-0.33576635,0.16445385,2.6186285,-0.63576269,-0.21605732,0.24320744,2.873652,4.0476427,22.581301,10.410687,1.0430239,-1.1167241,-1.6808313,0,6.5290599,7.9992323,0.98203766,8.7377291,12.837703,1.0942023,0.010807589,14.917356,6.8400002,3.8144045,11.995666,5.4326849,3.0022476,3.2584333,4,2,1,0,2.1370001,-3.01683,7.9999943,0,1,18,1,3,4,0,0,0,2.3320816,-1.3320817,0.14865778,0.26154727,51.238819,93.19577,0,0,0,12.949531,17.238026,28.926888,54.091755,0,9.4210396,0,13.566921,0,0.84408414,0.37774676,0.048344728,0.15591587,0.62225324,0.10757115,236.87427,106.0066,13.566921,43.754478,174.62215,30.187557,0.45454547,0.83333331,0,0,0,0,1,0,0,0,1,0,280.62875,0,0,0,280.62875,0,6,0,3,0,0,0.15000001,1.5882,18.01075,11.017323,23.862217,36.879158,3.185575,19.848583,3.5006065,88.215919,37.736813,57.588223,7.8618398,23.862217,37.675549,0,9.8717566,0,144.3923,44.894688,39.148643,49.279999,0.49991596,5.4594316,3.2073119,8.3312511,280.62875,378.88766,22.987961,0,5.6825762,5.6825762,210.07675,19.649082,28.670536,290.77399,837,32,104
UZANVGMPALOCQJ-UHFFFAOYSA-N,Fc1c(Nc2c(C(=O)N)cnc3c2cc(OC)c(OC)c3)cccc1,2.8099999,69.34977,48.611687,0,0,3,4,4,0,16,0,41,2,6,25,18,71.091209,1.7339319,0,0,18,0,1,16,0,3,3,0,0,1.7743189,-2.3168933,-0.59224254,0.58979642,2.2980504,-2.4609387,-0.49631798,0.69958937,2.4709165,-2.0094893,-0.37922692,0.7649731,2.6323123,24.804312,5,0.18518518,17,43,1,27,2,5,0.18518518,25,0,17.974327,13.668725,10.541451,12.1459,12.045244,7.4090581,4.5207257,6.357738,0,0,0.78168374,11,0,-0.81711864,-0.45410568,0.04424037,2.5335565,-1.3704108,-0.32019725,0.16617155,2.683224,-0.48460701,-0.19982436,0.18357208,2.8435049,6.3336854,12.77704,5.6923475,2.5987899,2.8918478,-4.308568,0,10.572554,9.3066378,0.50545496,14,6.9905233,2.1494653,0.43992746,19.753086,8.792244,4.2958579,13.650772,5.9741464,2.8819993,3.2620683,6,3,1,0,2.3147399,-4.2416,9.2253551,0,1,17,1,3,5,0,0,0,2.2432857,-2.2432857,0.11256386,0.16305329,75.649323,71.057663,34.556896,17.238026,0,12.949531,0,49.019615,24.509808,0,0,11.908636,19.386389,11.658631,0.8295294,0.35520226,0.13098241,0.17047058,0.64479774,0.039488163,272.03134,116.48308,42.953655,55.903187,211.45143,12.949531,0.45454547,0.83333331,0,0,0,0,1,0,0,0,1,0,327.93451,0,0,0,327.93451,0,6,0,3,0,0,0.16,3.2335999,54.896965,40.055065,9.1210184,0,27.047791,70.767738,0,127.79057,0,30.960464,9.30476,23.862217,53.745419,9.1210184,13.672431,61.138535,123.07346,5.2587838,70.767738,86.470001,0.42433795,5.7548876,3.185955,9.0336704,327.93451,436.67532,24.25701,0,0,23.425066,248.82959,12.949531,47.682076,341.34198,1402,43,130
FDWQWRCUIAECJN-UHFFFAOYSA-N,Clc1c(-c2c3n(nc2)C=CC=C3)nc(Nc2c(C)n(C3CCN(CC(=O)N(C)C)CC3)nc2C)nc1,2.9000001,82.691002,76.885788,0,0,3,4,6,0,16,0,66,1,7,36,24,107.09756,1.6226903,0,0,25,1,0,30,0,9,1,0,0,1.1372807,-2.7704625,-0.53258592,0.49842763,2.721987,-2.8081388,-0.43891755,0.57403672,2.760694,-2.5095608,-0.38054419,0.7004202,2.9772093,45.394211,7,0.175,16,70,3,40,4,7,0.175,51,0,25.396612,21.696836,16.076986,17.551678,17.312571,12.3983,6.2860756,7.7708569,0,0,0.7618314,19,0,-0.85820723,-0.39608565,-0.01771847,2.8479087,-0.97694355,-0.29402587,0.074227944,2.8992517,-0.5203864,-0.18011518,0.16563599,3.107549,12.52054,12.227345,10.310606,3.5092113,3.7063258,-6.603157,0,11.911859,14.153528,0.37111941,14,7.2447758,2.1283474,0.27195448,27.5625,12.027349,6.1124821,21.072765,9.1204004,4.6085591,5.3386683,10,1,1,1,0.75700003,-4.4967098,13.820313,0,1,27,0,5,8,3,0,0,2.7196605,-2.7196605,0.087177098,0.1276866,177.12421,126.23609,8.6190128,0,28.631105,0,0,79.407791,41.836849,0,18.842079,11.502043,13.566921,0,0.89382428,0.32654557,0.049566321,0.1061757,0.6734544,0.056609381,452.06604,165.15569,25.068964,53.700069,340.61041,28.631105,0.47368422,0.89999998,0,0,0,0,1,0,0,0,1,0,505.76608,0,0,0,505.76608,0,10,0,5,0,0,0.80555558,3.86854,0,99.968376,23.862217,55.318733,8.2702427,65.794373,3.5006065,75.657402,76.576324,110.45651,14.11267,23.862217,76.698845,0,15.752818,28.608913,107.4519,95.435059,171.59505,97,0.33426812,6.321928,3.9972482,10.020043,505.76608,666.85358,43.774151,0,0,5.6825762,403.96286,28.631105,49.45673,508.03,4519,60,196
VLRKQMQYVWMCDX-UHFFFAOYSA-O,O(Cc1c(C2Cn3c([nH+]cc3)C2)cccc1)C,1.8,72.617783,38.977482,1,1,0,0,1,0,11,2,34,0,1,17,13,48.183899,1.4171735,0,0,14,0,0,17,0,2,1,0,0,1.6258385,-2.4879365,-0.50633901,0.59113711,2.6768718,-2.4481235,-0.4261615,0.68725991,2.7083311,-2.2611904,-0.39967263,0.7228626,2.8860891,23.140518,3,0.15789473,11,36,0,19,4,3,0.15789473,25,0,11.664926,10.018234,8.6627722,9.6733618,8.381341,6.0065942,3.9729621,5.1161566,1,1,0.68961221,9,1,-0.81023425,-0.33555293,0.061674505,2.6431463,-1.4292042,-0.24570386,0.14053382,2.6963184,-0.55879194,-0.18342888,0.15980265,2.8663547,1.3911723,13.177961,8.7311859,1.3959883,0.77755553,-1.8913034,0,5.404726,6.8271556,0.86947787,7.8235745,14,1.4731133,0.083381034,12.055402,5.3254437,2.4197531,9.0090914,3.9007273,1.7441678,2.0671771,3,1,1,0,2.345,-1.69454,6.8782358,0,1,15,1,3,3,0,0,0,2.1484492,-1.1484492,0.14448136,0.32947725,37.793816,83.764175,42.022602,0,0,11.190562,8.6190128,4.4170794,49.019615,0,0,0.13689101,0,2.503756,0.9062494,0.23417516,0.011027162,0.093750596,0.76582485,0.082723439,217.01729,56.077343,2.6406472,22.450222,183.39017,19.809576,0.44444445,0.80000001,0,0,0,0,1,0,0,0,1,0,239.46751,0,0,0,239.46751,0,5,0,3,0,0,0.35294119,2.32127,16.78553,1.8990928,10.999887,0,8.69907,54.252274,4.4107962,105.00145,0,39.365837,6.4997702,27.785418,1.8990928,0,13.109866,0,163.23569,0,35.383869,28.299999,0.56150466,5.2479277,2.9018316,7.8776026,239.46751,332.51007,2.503756,0,5.6825762,5.6825762,204.28351,11.190562,8.1863317,229.30299,509,23,90
ZLTQSXAPKBXBCJ-UHFFFAOYSA-O,Fc1c(OC2C[C@@H]3[NH+](Cc4ccccc4)[C@H](C2)CC3)ccc(C(=O)N)c1,2.0999999,88.821365,57.324032,0,0,1,2,2,0,12,1,50,1,3,26,21,75.915047,1.5183009,0,0,21,0,1,24,0,2,2,0,0,1.274356,-2.7800825,-0.63732672,0.68364602,2.9254351,-3.4558001,-0.52897477,0.70149601,2.8012094,-2.5776992,-0.4937239,0.82298833,3.1232138,30.973969,5,0.1724138,12,53,1,29,3,5,0.1724138,40,0,18.095648,14.658198,12.386387,13.811191,12.597357,9.2542725,7.2017608,8.9738941,2,0,0.72930974,15,1,-0.87774438,-0.3814601,0.095640488,2.9804173,-2.2505603,-0.31049585,0.15577726,2.9421439,-0.63348788,-0.21599217,0.18391271,3.1736181,3.1872549,22.318771,12.01796,1.4615797,0.18064812,-2.6575174,0,7.6630721,10.021855,0.95228672,8.3001289,14,1.2113388,0.02914595,19.322235,8.56633,4.54321,14.924498,6.5435143,3.4428835,3.7561026,4,3,1,0,4.085,-4.7285199,10.00393,0,1,21,1,4,8,0,0,0,2.8803196,-1.8803197,0.12120847,0.19457212,73.345421,66.646866,21.650845,26.258871,12.949531,0,8.6190128,36.764713,61.274521,0,0,11.908636,13.566921,9.1548758,0.83574283,0.38776401,0.10121708,0.16425715,0.61223596,0.06304007,285.94122,132.66966,34.630432,56.198975,209.47055,21.568544,0.46666667,0.875,0,0,0,0,1,0,0,0,1,0,342.1402,0,0,0,342.1402,0,8,0,4,0,0,0.03846154,2.3483,47.021389,5.2587838,23.553604,0,30.233366,0,0,141.14548,75.473625,38.64312,9.6691599,26.98653,25.960001,9.1210184,26.047165,32.897186,235.05867,5.2587838,0,56.759998,0.42228913,5.8579812,3.6410358,9.0710115,342.1402,487.35532,16.070677,0,0,17.742489,265.66415,12.949531,33.813168,355.43298,1843,40,140
UZMQIGLCNLQYDJ-UHFFFAOYSA-N,FCCOCCOCCOc1cc2nc(-c3ccc(NC)cc3)oc2cc1,3.0899999,100,56.50124,0,0,3,4,4,0,15,0,50,1,5,27,19,81.712326,1.6342465,0,0,20,0,1,23,0,2,4,0,0,1.2782605,-2.5277827,-0.60168052,0.5233053,2.5099621,-2.6286764,-0.50516868,0.64366448,2.4288604,-2.297081,-0.39977574,0.73570341,2.724093,35.990761,11,0.37931034,16,52,0,29,9,11,0.37931034,36,0,18.89913,15.242264,12.284093,13.656489,13.296356,8.8296242,5.309401,6.932653,0,0,0.75348353,20,0,-0.83146489,-0.39239678,-0.0069912802,2.4691107,-0.98132867,-0.26903799,0.13221185,2.5928869,-0.51702368,-0.20470607,0.16848157,2.7491584,7.538271,10.519901,9.1767702,2.9800746,2.9800746,-4.1731305,0,8.2095604,10.085956,0,14,14,1,0,21.702734,11.869978,6.7795382,16.935583,9.1683731,5.1968074,5.7508049,6,1,1,0,2.4394801,-5.1563601,10.26755,1,1,16,1,3,11,1,0,0,2.5133278,-2.5133278,0.090872839,0.17318793,21.704248,164.25732,30.832184,8.458519,12.949531,0,0,109.02302,0,0,0,17.591211,0.13689101,10.015024,0.89147699,0.36474091,0.073987998,0.10852303,0.63525909,0.034535035,334.2753,136.76614,27.743128,40.692657,238.2018,12.949531,0.5,1,0,0,0,0,1,0,0,0,1,0,374.96796,0,0,0,374.96796,0,10,0,3,0,0,0.62962961,3.918,10.999887,34.79628,21.999775,129.43513,0,42.404533,0,138.6882,0,22.960289,10.20997,31.507122,42.745529,0,5.2434282,35.953415,123.50229,129.43513,32.897186,65.75,0.40063059,5.8579812,3.9893003,9.1427832,374.96796,496.90799,13.193845,0,0,5.6825762,313.4469,23.911806,18.876421,374.41199,2417,36,132
JBKAGOBFGDHBNE-UHFFFAOYSA-N,Clc1c(C(=O)c2c3c([nH]c2)ncc(-c2c(OC)nn(C)c2)c3)ccc(CCO)c1,3.0999999,99.835648,58.615067,0,0,3,4,5,0,20,0,48,3,8,29,19,82.374023,1.7161255,0,0,21,1,0,19,0,4,3,0,0,1.3935182,-2.428741,-0.62059665,0.68974257,2.4089849,-2.4639542,-0.52468777,0.67012471,2.4435472,-2.1795816,-0.40264034,0.87675518,2.6733761,28.024933,6,0.1875,21,51,1,32,4,6,0.1875,29,0,20.543242,16.69491,12.455666,14.137464,14.01157,9.3841343,5.5349631,7.4158163,0,0,0.7922309,15,0,-0.84324753,-0.42900893,0.079189986,2.5769932,-0.89344555,-0.35206503,0.11403923,2.6915441,-0.51492256,-0.18945421,0.25598162,2.8836179,8.5282793,11.767031,7.5541458,3.7932551,3.7948716,-5.6018929,0,11.804526,11.191943,0.0038140856,13.532331,9.4169502,1.0259291,0.002288793,22.203125,9.6465025,4.6210938,16.625046,7.1430011,3.3937685,4.0949211,7,2,1,0,3.2909999,-5.8839202,11.167053,0,1,21,1,4,6,0,0,0,2.3288352,-2.3288352,0.089919746,0.16947757,143.58647,57.912918,11.190562,30.027063,10.324173,0,0,47.674564,41.836849,9.4210396,0,5.6825762,13.566921,10.408187,0.89523435,0.3369486,0.077712916,0.10476565,0.66305143,0.027052738,341.64948,128.59013,29.657684,39.981857,253.0412,10.324173,0.46666667,0.875,0,0,0,0,1,0,0,0,1,0,381.63132,0,0,0,381.63132,0,8,1,4,0,0,0.31034482,3.75037,36.385113,40.91272,16.78553,20.926258,33.418941,54.252274,3.5006065,132.87523,0,76.860435,11.0803,23.862217,71.610222,16.78553,17.871933,10.659424,141.08421,26.613869,107.4297,93.029999,0.38828552,6,3.6153731,9.4174299,381.63132,518.61267,22.987961,0,0,0,278.91028,35.102367,47.920033,410.86099,2308,48,156
BMGADORKBYLQMZ-UHFFFAOYSA-N,Clc1c(-n2ncc3c(O[C@H](C(=O)Nc4ncc(F)cc4)CN4CC(O)C4)ncnc23)c(F)ccc1,2.3,98.869682,64.122276,0,0,2,3,7,0,21,0,53,2,9,35,20,104.00726,1.9624013,0,0,22,1,2,18,0,7,3,0,0,1.2326583,-2.7765703,-0.58505189,0.64797831,2.735167,-2.9353738,-0.54057652,0.76467174,2.5742762,-2.5185859,-0.4184123,0.84738177,2.9806592,33.957726,7,0.17948718,22,57,1,39,3,8,0.20512821,34,0,24.526369,18.731638,12.394823,14.129027,16.88505,10.892044,5.245471,6.8409014,1,0,0.8680979,16,0,-0.88018292,-0.42330992,0.060625564,2.6503778,-1.0316418,-0.40561721,0.2272515,2.6502478,-0.57410675,-0.21228465,0.22125715,2.9115653,14.32168,11.888698,7.6006775,3.3866365,3.3989093,-6.272697,0,12.871891,12.526107,0.027915215,14,8.5418634,1.1362256,0.016878765,26.60092,11.80676,6.1895113,20.098923,8.8424349,4.6059275,5.0778117,10,2,1,1,1.28053,-5.6324601,12.357169,0,1,26,0,5,7,3,0,0,3.2688599,-3.2688599,0.078635223,0.11907987,65.169289,83.513519,52.413273,46.684879,10.324173,12.949531,0,49.019615,41.836849,0,9.4210396,40.864998,13.566921,10.408187,0.79798394,0.37856054,0.1486571,0.20201607,0.62143946,0.053358968,348.05847,165.11761,64.840111,88.113808,271.05466,23.273705,0.5,1,0,0,0,0,1,0,0,0,1,0,436.17227,0,0,0,436.17227,0,8,0,5,0,0,0.37142858,2.2047,36.385113,95.190018,55.04155,55.318733,0,0,3.5006065,146.47519,0,76.211395,12.13155,23.862217,138.22581,18.242037,21.252506,27.383692,139.43016,60.577518,39.148643,118.29,0.34185782,6.2854023,3.7497826,9.9861736,436.17227,578.13867,40.03569,0,0,5.6825762,282.32578,75.574463,59.285187,501.88098,3853,55,190
JLKZKTWIISMPBF-UHFFFAOYSA-O,O(CC(O)C[NH2+]CCc1cc(OC)c(OC)cc1)c1ccc(-c2[nH]c(CN3CCOCC3)cn2)cc1,1.64,34.065578,80.601341,0,0,2,3,8,0,17,1,73,3,11,36,26,111.11581,1.5221344,0,0,27,0,0,37,0,4,5,0,0,1.0200925,-2.6992986,-0.57055271,0.62818521,2.6605575,-3.4100106,-0.51815218,0.55478412,2.5655322,-2.4589911,-0.37447086,0.70032293,2.8818009,52.072659,13,0.33333334,17,76,0,39,7,13,0.33333334,59,0,25.166716,21.112097,17.060114,18.639618,17.639692,12.421759,7.1216798,8.9738941,1,1,0.71954662,24,1,-0.86939305,-0.38003001,0.083226994,2.7258086,-2.2478075,-0.32642922,0.10345031,2.7371063,-0.63617891,-0.1995032,0.16004169,2.9547791,9.7800913,32.081764,15.475039,0.20958945,-1.5151131,-2.3538866,0,9.258996,13.956613,1.7942282,8.6174459,6.6474409,5.0447927,0.91345733,28.994083,15.555555,9.3134766,23.713224,12.645403,7.5389757,8.3295355,9,4,1,0,1.77774,-4.5111299,13.96296,0,1,23,0,4,15,3,0,0,4.3183403,-3.3183403,0.080294408,0.11567801,141.30478,189.88528,46.204857,8.6190128,10.324173,0,17.238026,75.737961,12.254904,0,0,5.6825762,0,17.919456,0.90257609,0.21249248,0.044941612,0.097423941,0.78750753,0.052482329,474.00681,111.5949,23.602032,51.16423,413.57614,27.562199,0.5,1,0,0,0,0,1,0,0,0,1,0,525.17102,0,0,0,525.17102,0,12,0,4,0,0,0.55555558,1.73827,76.395638,19.909843,34.254066,136.53709,5.9423227,89.636139,0,146.23015,0,34.169861,13.67359,10.999887,96.305481,16.78553,28.141256,5.513495,178.02463,136.53709,70.767738,105.68,0.3281796,6.2854023,4.3598857,9.9771976,525.17102,691.56879,10.015024,0,5.6825762,5.6825762,430.70798,11.190562,40.629673,497.616,5649,50,180
